GEO_ID,,S1101_C01_001E,S1101_C01_002E
GEO ID,FIPS,Total households,Average household size
1400000U,6037209401,1546,2.47
1400000U,6037209402,1258,3.17
1400000U,6037209403,1506,2.71
1400000U,6037209510,935,2.72
1400000U,6037209520,947,2.7
1400000U,6037209810,756,2.85
1400000U,6037209820,790,3.21
1400000U,6037210010,1241,2.67
1400000U,6037211000,2123,2.41
1400000U,6037211121,982,2.36
1400000U,6037211122,1111,2.28
1400000U,6037211123,1047,1.67
1400000U,6037211124,2035,2.09
1400000U,6037211201,1044,2.2
1400000U,6037211202,956,2.41
1400000U,6037211310,1431,2.31
1400000U,6037211320,1218,2.71
1400000U,6037211410,1140,2.6
1400000U,6037211420,1328,2.72
1400000U,6037211500,1848,2.2
1400000U,6037211701,1245,2.15
1400000U,6037211703,2126,2.17
1400000U,6037211704,1653,1.69
1400000U,6037211802,2153,2.11
1400000U,6037211803,1652,2.13
1400000U,6037211804,1289,2.38
1400000U,6037211910,1922,2.13
1400000U,6037211921,934,2.26
1400000U,6037211922,1379,2.48
1400000U,6037212101,1520,1.72
1400000U,6037212102,1218,2.2
1400000U,6037212202,1282,2.65
1400000U,6037212203,1493,1.76
1400000U,6037212204,1460,2.35
1400000U,6037212303,1603,2.4
1400000U,6037212304,771,2.23
1400000U,6037212305,941,2.9
1400000U,6037212306,1107,2.69
1400000U,6037212410,1529,2.67
1400000U,6037212420,1124,2.27
1400000U,6037212501,905,2.1
1400000U,6037212502,1417,2.04
1400000U,6037212610,1917,2.2
1400000U,6037212620,1778,2.08
1400000U,6037212701,802,2.62
1400000U,6037212702,1377,2.34
1400000U,6037212800,1316,2.41
1400000U,6037212900,1485,2.54
1400000U,6037213100,1048,2.64
1400000U,6037213201,1657,2.51
1400000U,6037213202,1228,3.12
1400000U,6037213310,917,2.78
1400000U,6037213320,956,2.66
1400000U,6037213401,1648,2.91
1400000U,6037213402,1735,2.69
1400000U,6037214000,1198,3.08
1400000U,6037214100,1714,2.08
1400000U,6037214400,1730,1.61
1400000U,6037214501,1651,2.23
1400000U,6037214503,1517,2.18
1400000U,6037214504,1697,2.08
1400000U,6037214505,935,1.57
1400000U,6037214600,1272,1.68
1400000U,6037214700,1209,1.84
1400000U,6037214800,1435,1.94
1400000U,6037214902,1473,1.63
1400000U,6037214903,1085,1.39
1400000U,6037214904,847,1.63
1400000U,6037215101,1835,1.53
1400000U,6037215102,2006,1.47
1400000U,6037216100,962,2.24
1400000U,6037216201,1427,1.67
1400000U,6037216202,1375,1.78
1400000U,6037216301,598,2.41
1400000U,6037216302,1727,1.86
1400000U,6037216401,1625,1.97
1400000U,6037216402,1214,1.98
1400000U,6037216700,1614,2.05
1400000U,6037216800,1413,2.35
1400000U,6037216901,1289,2.05
1400000U,6037216902,1187,1.76
1400000U,6037217001,972,2.72
1400000U,6037217002,1904,2.51
1400000U,6037217101,890,2.82
1400000U,6037217102,1232,2.16
1400000U,6037217200,1686,2.27
1400000U,6037218110,1247,2.78
1400000U,6037218120,1284,2.74
1400000U,6037218210,1222,3.14
1400000U,6037218220,1461,2.61
1400000U,6037218300,2166,2.27
1400000U,6037218400,1331,3.02
1400000U,6037218500,970,2.85
1400000U,6037218600,1103,2.69
1400000U,6037218701,838,2.43
1400000U,6037218702,848,3.06
1400000U,6037218800,961,2.7
1400000U,6037218900,2149,2.37
1400000U,6037219010,1018,2.96
1400000U,6037219020,1250,3.65
1400000U,6037219300,1400,2.6
1400000U,6037219500,820,2.5
1400000U,6037219700,1330,3.34
1400000U,6037219800,957,3.18
1400000U,6037219901,1535,3.21
1400000U,6037219902,1173,3
1400000U,6037220000,2174,2.04
1400000U,6037220100,1108,2.33
1400000U,6037221110,1041,2.88
1400000U,6037221120,775,3.73
1400000U,6037221210,868,3.54
1400000U,6037221220,924,3.19
1400000U,6037221302,1160,3.06
1400000U,6037221303,725,3.43
1400000U,6037221304,1157,3.06
1400000U,6037221401,1182,2.4
1400000U,6037221402,935,3.04
1400000U,6037221500,1089,3.17
1400000U,6037221601,990,3.34
1400000U,6037221602,864,2.84
1400000U,6037221710,921,3.12
1400000U,6037221810,907,2.9
1400000U,6037221820,967,2.08
1400000U,6037221900,948,2.89
1400000U,6037222001,950,3.23
1400000U,6037222002,1409,3.66
1400000U,6037222100,1175,3.44
1400000U,6037222200,1291,3
1400000U,6037222500,1177,3.91
1400000U,6037222600,1679,3.32
1400000U,6037222700,151,3.19
1400000U,6037224010,1710,1.81
1400000U,6037224020,914,2.86
1400000U,6037224200,750,3.22
1400000U,6037224310,584,3.2
1400000U,6037224320,1107,2.97
1400000U,6037224410,1109,2.61
1400000U,6037224420,878,2.5
1400000U,6037224600,772,3.61
1400000U,6037224701,333,2.61
1400000U,6037224702,714,2.22
1400000U,6037226001,577,3.75
1400000U,6037226002,1194,1.62
1400000U,6037226410,843,4.25
1400000U,6037226420,1303,4.07
1400000U,6037226701,622,4.58
1400000U,6037226702,872,4.91
1400000U,6037227010,1092,4.16
1400000U,6037227020,766,4.59
1400000U,6037228100,1182,4.36
1400000U,6037228210,1001,4.11
1400000U,6037228220,973,4.62
1400000U,6037228310,1085,4.14
1400000U,6037228320,740,4.53
1400000U,6037228410,716,4.71
1400000U,6037228420,667,4.75
1400000U,6037228500,1157,4.37
1400000U,6037228600,1079,4.63
1400000U,6037228710,1045,3.95
1400000U,6037228720,1126,4.26
1400000U,6037228800,1278,4.18
1400000U,6037228900,874,3.39
1400000U,6037229100,1097,4.23
1400000U,6037229200,1204,3.67
1400000U,6037229300,1381,4.29
1400000U,6037229410,835,4.7
1400000U,6037229420,1031,4.19
1400000U,6037231100,687,3.92
1400000U,6037231210,1184,3.6
1400000U,6037231220,1393,3.08
1400000U,6037231301,788,3.13
1400000U,6037231302,820,3.76
1400000U,6037231400,1517,3.42
1400000U,6037231500,1486,3.45
1400000U,6037231601,738,3.28
1400000U,6037231602,630,3.2
1400000U,6037231603,745,3.68
1400000U,6037231710,1171,3.65
1400000U,6037231720,1464,3.59
1400000U,6037231800,1431,3.67
1400000U,6037231901,737,3.84
1400000U,6037231902,790,4.03
1400000U,6037232110,824,4.01
1400000U,6037232120,1469,3.59
1400000U,6037232200,861,3.98
1400000U,6037232300,1198,4.13
1400000U,6037232401,1104,3.43
1400000U,6037232402,963,3.16
1400000U,6037232500,1506,3.1
1400000U,6037232601,522,3.39
